,UID,name,rating,brewery,style,abv
253,230,Mississippi Fire Ant,4.13,Southern Prohibition Brewing,American Imperial Red Ale,8.00
254,37,Nosferatu,5.0,Great Lakes Brewing Co.,American Imperial Red Ale,8.00
255,349,Onesie Single Hop IPA (Ekuanot),3.78,Lone Pine Brewing Company,American IPA,6.50
256,349,Pale Pilot,3.87,Proclamation Ale Company,American Pale Ale (APA),5.70
257,349,Panama Red Ale,3.67,The Funky Bow Brewery & Beer Company,American Amber / Red Ale,7.50
258,222,Patina Pale Ale,3.75,Austin Street Brewery,American Pale Ale (APA),5.30
259,349,Plead the Fif,4.02,The Answer Brewpub,American Imperial IPA,8.27
260,273,Portland Pale Ale,3.61,Lone Pine Brewing Company,American Pale Ale (APA),5.20
261,1,Preserve & Protect,4.32,Bissell Brothers Brewing Co.,New England IPA,7.80
262,349,Rufous,3.94,Prohibition Pig,American Amber / Red Ale,5.50
263,143,Samara Brown,4.08,Lone Pine Brewing Company,American Brown Ale,7.50
264,300,Secret Stairs Boston Stout,4.67,Trillium Brewing Company,English Stout,6.50
265,349,Shadowclock Pilsner - Fresh Hop,3.78,Burial Beer Co.,German Pilsner,5.50
266,44,Society & Solitude #4,4.42,Hill Farmstead Brewery,New England IPA,8.00
267,349,Sound The Horns,4.35,River Roost Brewery,American IPA,7.00
268,349,The Cut: Grape - Tempranillo,4.04,Casey Brewing & Blending,American Wild Ale,7.00
269,160,The Jolly Woodsman,4.0,Banded Brewing Co.,American Stout,7.50
270,349,The Silent World,4.04,Creature Comforts,German Schwarzbier,5.50
271,349,Walking With Spiders,4.08,Ocelot Brewing Company,American Imperial Stout,8.40
272,51,22nd Anniversary Anni-Matter Double IPA,4.0,Stone Brewing,American Imperial IPA,9.10
273,15,75 Minute IPA,4.0,Dogfish Head Craft Brewery,American IPA,7.50
274,53,Anniversary Ale - Twenty Five,4.29,Avery Brewing Company,Belgian Strong Dark Ale,14.50
275,58,Bigfoot - Barrel-Aged,4.0,Sierra Nevada Brewing Co.,American Barleywine,12.20
276,729,Body Spray,3.93,Austin Beerworks,American Brut IPA,10.00
277,27,Bourbon County Brand Barleywine Ale,4.62,Goose Island Beer Co.,British Barleywine,14.40
278,43,Bourbon County Brand Northwoods Stout,2.98,Goose Island Beer Co.,American Imperial Stout,12.60
